Company,Location,Num Employees,Date of Effect,Date of Notification
JP Morgan Chase ,Tukwila,45,"Monday, June 15, 2009",3/31/2009
Hampton Affiliates ,Morton,124,"Saturday, June 06, 2009",4/6/2009
Hampton Affiliates ,Darrington,118,"Saturday, June 06, 2009",4/6/2009
Guy Bennett Lumber ,Clarkston,74,"Friday, June 05, 2009",3/24/2009
"Sun Microsystems, Inc ",Bellevue,24,"Saturday, May 30, 2009",3/30/2009
CDG Management ,Olympia,41,"Friday, May 29, 2009",5/15/2009
Boeing ,Puget Sound,710,"Friday, May 22, 2009",3/19/2009
Spring Air ,Lacey,45,"Friday, May 01, 2009",5/4/2009
Weyerhaeuser Sawmill ,Toutle,1,"Friday, May 01, 2009",3/2/2009
Commercial Vehicle Group ,Vancouver,70,"Thursday, April 30, 2009",3/18/2009
General Dynamics ,Spokane Valley,353,"Friday, April 24, 2009",2/23/2009
Boeing ,Puget Sound,781,"Friday, April 24, 2009",2/25/2009
Qwest ,Seattle,235,"Wednesday, April 15, 2009",1/19/2009
Best Buy ,Kent,82,"Tuesday, April 14, 2009",2/12/2009
Results Bellingham ,Bellingham,150,"Sunday, April 12, 2009",2/11/2009
Exide Technologies ,Sumner,43,"Tuesday, March 31, 2009",3/31/2009
Allied Waste ,Seattle,203,"Tuesday, March 31, 2009",1/28/2009
"Sun Microsystems, Inc ",Bellevue,4,"Monday, March 23, 2009",1/21/2009
Microsoft ,Redmond,872,"Monday, March 23, 2009",1/22/2009
Philips Electronics ,Auburn,96,"Friday, March 20, 2009",1/19/2009
Boeing ,Puget Sound,668,"Friday, March 20, 2009",1/30/2009
Seattle Post-Intelligencer ,Seattle,181,"Wednesday, March 18, 2009",1/16/2009
TTM Technologies ,Redmond,369,"Monday, March 16, 2009",2/2/2009
SolarWorld Industries ,Vancouver,63,"Friday, March 13, 2009",1/27/2009
Weyerhaeuser Lumbermill ,Raymond,50,"Monday, March 09, 2009",3/4/2009
Teck Cominco ,Metaline Falls,165,"Monday, February 16, 2009",12/18/2008
ABX Air ,Chehalis,4,"Friday, February 13, 2009",12/15/2008
Hunter Douglas ,Renton,166,"Monday, February 02, 2009",12/3/2008
Washington Mutual ,Seattle,3400,"Saturday, January 31, 2009",11/12/2008
Agilent Technologies ,Liberty Lake,120,"Friday, January 30, 2009",12/16/2008
Weyerhaeuser Sawmill ,Aberdeen,128,"Monday, January 26, 2009",1/26/2009
Pacific Veneer Weyerhaeuser ,Aberdeen,93,"Monday, January 26, 2009",1/26/2009
DHL Express ,"Kent, Bothell, Bellevue, Fife",187,"Sunday, January 18, 2009",11/14/2008
DHL Express ,Seattle,68,"Sunday, January 18, 2009",11/14/2008
American Airlines ,Seattle,1,"Friday, January 16, 2009",11/13/2008
Kenworth Trucking ,Renton,430,"Friday, January 16, 2009",11/13/2008
